<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.27	12:00:00	1.26827	1.26947	1.26671	1.26704	14556	0	1
2024.02.27	16:00:00	1.26704	1.26947	1.26600	1.26850	16009	0	1
2024.02.27	20:00:00	1.26851	1.26879	1.26784	1.26844	5138	0	1
2024.02.28	00:00:00	1.26845	1.26859	1.26691	1.26708	6049	0	1
2024.02.28	04:00:00	1.26708	1.26711	1.26543	1.26551	4448	0	1
2024.02.28	08:00:00	1.26551	1.26611	1.26213	1.26492	12465	0	1
2024.02.28	12:00:00	1.26491	1.26579	1.26290	1.26495	19456	0	1
2024.02.28	16:00:00	1.26495	1.26732	1.26443	1.26562	12580	0	1
2024.02.28	20:00:00	1.26562	1.26641	1.26510	1.26600	5574	0	1
2024.02.29	00:00:00	1.26604	1.26684	1.26565	1.26680	7315	0	1
2024.02.29	04:00:00	1.26680	1.26716	1.26612	1.26637	6891	0	1
2024.02.29	08:00:00	1.26637	1.26741	1.26523	1.26577	16490	0	1
2024.02.29	12:00:00	1.26574	1.26680	1.26350	1.26669	20573	0	1
2024.02.29	16:00:00	1.26672	1.26816	1.26141	1.26247	17702	0	1
2024.02.29	20:00:00	1.26247	1.26276	1.26124	1.26233	6593	0	1
2024.03.01	00:00:00	1.26233	1.26352	1.26219	1.26318	7183	0	1
2024.03.01	04:00:00	1.26318	1.26341	1.26240	1.26278	4743	0	1
2024.03.01	08:00:00	1.26276	1.26411	1.26173	1.26296	15114	0	1
2024.03.01	12:00:00	1.26295	1.26469	1.25995	1.26001	16695	0	1
2024.03.01	16:00:00	1.25998	1.26610	1.25998	1.26573	20690	0	1
2024.03.01	20:00:00	1.26573	1.26636	1.26528	1.26550	6079	0	1
2024.03.03	20:00:00	1.26482	1.26559	1.26474	1.26516	439	0	1
2024.03.04	00:00:00	1.26515	1.26662	1.26482	1.26654	6106	0	1
2024.03.04	04:00:00	1.26654	1.26668	1.26606	1.26656	4814	0	1
2024.03.04	08:00:00	1.26659	1.26796	1.26628	1.26749	11038	0	1
2024.03.04	12:00:00	1.26749	1.26928	1.26656	1.26922	12064	0	1
2024.03.04	16:00:00	1.26921	1.27063	1.26865	1.26918	11551	0	1
2024.03.04	20:00:00	1.26918	1.26945	1.26858	1.26912	4127	0	1
2024.03.05	00:00:00	1.26897	1.26943	1.26821	1.26850	4923	0	1
2024.03.05	04:00:00	1.26850	1.26905	1.26746	1.26768	5334	0	1
2024.03.05	08:00:00	1.26768	1.26892	1.26710	1.26852	11241	0	1
2024.03.05	12:00:00	1.26852	1.27043	1.26740	1.26955	14303	0	1
2024.03.05	16:00:00	1.26955	1.27347	1.26955	1.27049	17414	0	1
2024.03.05	20:00:00	1.27049	1.27087	1.26935	1.27021	7762	0	1
2024.03.06	00:00:00	1.27020	1.27077	1.26898	1.27000	7096	0	1
2024.03.06	04:00:00	1.27000	1.27071	1.26975	1.27048	4787	0	1
2024.03.06	08:00:00	1.27048	1.27313	1.27034	1.27211	13898	0	1
2024.03.06	12:00:00	1.27210	1.27303	1.27054	1.27228	18353	0	1
2024.03.06	16:00:00	1.27226	1.27613	1.27147	1.27470	21358	0	1
2024.03.06	20:00:00	1.27469	1.27469	1.27256	1.27300	10940	0	1
2024.03.07	00:00:00	1.27300	1.27396	1.27231	1.27300	10135	0	1
2024.03.07	04:00:00	1.27300	1.27412	1.27276	1.27405	7416	0	1
2024.03.07	08:00:00	1.27405	1.27598	1.27293	1.27598	14335	0	1
2024.03.07	12:00:00	1.27597	1.27726	1.27447	1.27681	22489	0	1
2024.03.07	16:00:00	1.27681	1.28081	1.27627	1.28042	16852	0	1
2024.03.07	20:00:00	1.28042	1.28105	1.27996	1.28081	6925	0	1
2024.03.08	00:00:00	1.28081	1.28199	1.28052	1.28062	7206	0	1
2024.03.08	04:00:00	1.28062	1.28120	1.28039	1.28090	6208	0	1
2024.03.08	08:00:00	1.28089	1.28399	1.28009	1.28367	14657	0	1
2024.03.08	12:00:00	1.28368	1.28932	1.28245	1.28782	26451	0	1
2024.03.08	16:00:00	1.28782	1.28861	1.28413	1.28430	23221	0	1
2024.03.08	20:00:00	1.28429	1.28583	1.28400	1.28576	7912	0	1
2024.03.10	20:00:00	1.28535	1.28607	1.28475	1.28482	1192	0	1
2024.03.11	00:00:00	1.28482	1.28619	1.28475	1.28483	9711	0	1
2024.03.11	04:00:00	1.28483	1.28555	1.28451	1.28544	7236	0	1
2024.03.11	08:00:00	1.28544	1.28580	1.28314	1.28464	14435	0	1
2024.03.11	12:00:00	1.28467	1.28537	1.28084	1.28156	15722	0	1
2024.03.11	16:00:00	1.28156	1.28159	1.27950	1.28069	15433	0	1
2024.03.11	20:00:00	1.28069	1.28146	1.28009	1.28119	4872	0	1
2024.03.12	00:00:00	1.28119	1.28225	1.28115	1.28216	7262	0	1
2024.03.12	04:00:00	1.28216	1.28234	1.28142	1.28162	6732	0	1
2024.03.12	08:00:00	1.28151	1.28194	1.27762	1.27971	11835	0	1
2024.03.12	12:00:00	1.27969	1.28078	1.27462	1.27720	30265	0	1
2024.03.12	16:00:00	1.27720	1.27917	1.27643	1.27908	14042	0	1
2024.03.12	20:00:00	1.27908	1.27955	1.27849	1.27924	3551	0	1
2024.03.13	00:00:00	1.27924	1.27980	1.27912	1.27942	6332	0	1
2024.03.13	04:00:00	1.27942	1.27989	1.27871	1.27922	6110	0	1
2024.03.13	08:00:00	1.27920	1.28005	1.27746	1.27908	11757	0	1
2024.03.13	12:00:00	1.27908	1.28088	1.27868	1.28021	15902	0	1
2024.03.13	16:00:00	1.28021	1.28110	1.27909	1.27942	14276	0	1
2024.03.13	20:00:00	1.27942	1.28010	1.27905	1.27991	4056	0	1
2024.03.14	00:00:00	1.27991	1.28045	1.27912	1.27925	6108	0	1
2024.03.14	04:00:00	1.27925	1.27966	1.27867	1.27940	6935	0	1
2024.03.14	08:00:00	1.27940	1.28226	1.27905	1.28109	11749	0	1
2024.03.14	12:00:00	1.28109	1.28139	1.27489	1.27545	24342	0	1
2024.03.14	16:00:00	1.27545	1.27571	1.27305	1.27497	15099	0	1
2024.03.14	20:00:00	1.27499	1.27576	1.27436	1.27498	4548	0	1
2024.03.15	00:00:00	1.27498	1.27503	1.27300	1.27304	6635	0	1
2024.03.15	04:00:00	1.27303	1.27418	1.27302	1.27392	4988	0	1
2024.03.15	08:00:00	1.27393	1.27571	1.27329	1.27517	11924	0	1
2024.03.15	12:00:00	1.27516	1.27583	1.27400	1.27428	17015	0	1
2024.03.15	16:00:00	1.27430	1.27435	1.27250	1.27391	10498	0	1
2024.03.15	20:00:00	1.27391	1.27406	1.27339	1.27361	2638	0	1
2024.03.17	20:00:00	1.27370	1.27373	1.27276	1.27338	1166	0	5
2024.03.18	00:00:00	1.27338	1.27378	1.27262	1.27346	5911	0	1
2024.03.18	04:00:00	1.27346	1.27363	1.27260	1.27340	4147	0	1
2024.03.18	08:00:00	1.27341	1.27466	1.27273	1.27368	8674	0	1
2024.03.18	12:00:00	1.27367	1.27455	1.27239	1.27253	11057	0	1
2024.03.18	16:00:00	1.27253	1.27345	1.27177	1.27294	9250	0	1
2024.03.18	20:00:00	1.27294	1.27315	1.27219	1.27258	4493	0	1
2024.03.19	00:00:00	1.27258	1.27277	1.27136	1.27231	6595	0	1
2024.03.19	04:00:00	1.27231	1.27288	1.27014	1.27097	15105	0	1
2024.03.19	08:00:00	1.27096	1.27098	1.26675	1.26815	14178	0	1
2024.03.19	12:00:00	1.26815	1.27161	1.26808	1.27147	13019	0	1
2024.03.19	16:00:00	1.27147	1.27327	1.27023	1.27221	10003	0	1
