<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	23:00:00	1.27196	1.27308	1.27147	1.27262	327	0	1
2024.01.02	00:00:00	1.27262	1.27352	1.27253	1.27272	1601	0	1
2024.01.02	01:00:00	1.27271	1.27295	1.27216	1.27255	1507	0	1
2024.01.02	02:00:00	1.27255	1.27330	1.27200	1.27205	2796	0	1
2024.01.02	03:00:00	1.27205	1.27253	1.27098	1.27104	2184	0	1
2024.01.02	04:00:00	1.27104	1.27197	1.27098	1.27184	1538	0	1
2024.01.02	05:00:00	1.27184	1.27190	1.27108	1.27141	1291	0	1
2024.01.02	06:00:00	1.27141	1.27410	1.27139	1.27371	2119	0	1
2024.01.02	07:00:00	1.27371	1.27371	1.27289	1.27308	1877	0	1
2024.01.02	08:00:00	1.27310	1.27438	1.27266	1.27320	4089	0	1
2024.01.02	09:00:00	1.27320	1.27597	1.27294	1.27495	6884	0	1
2024.01.02	10:00:00	1.27492	1.27562	1.27172	1.27174	4004	0	1
2024.01.02	11:00:00	1.27174	1.27185	1.26924	1.26952	4086	0	1
2024.01.02	12:00:00	1.26949	1.26949	1.26538	1.26623	5253	0	1
2024.01.02	13:00:00	1.26623	1.26630	1.26393	1.26434	4137	0	1
2024.01.02	14:00:00	1.26439	1.26482	1.26211	1.26295	5419	0	1
2024.01.02	15:00:00	1.26292	1.26445	1.26200	1.26281	8136	0	1
2024.01.02	16:00:00	1.26281	1.26372	1.26151	1.26250	8777	0	1
2024.01.02	17:00:00	1.26250	1.26353	1.26106	1.26295	5258	0	1
2024.01.02	18:00:00	1.26295	1.26369	1.26221	1.26329	4700	0	1
2024.01.02	19:00:00	1.26330	1.26349	1.26239	1.26259	3431	0	1
2024.01.02	20:00:00	1.26259	1.26267	1.26197	1.26198	2047	0	1
2024.01.02	21:00:00	1.26199	1.26264	1.26160	1.26178	2994	0	1
2024.01.02	22:00:00	1.26178	1.26224	1.26154	1.26154	1101	0	1
2024.01.02	23:00:00	1.26120	1.26207	1.26120	1.26184	520	0	16
2024.01.03	00:00:00	1.26184	1.26239	1.26167	1.26224	783	0	2
