<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.08.24	1.65417	1.66132	1.65366	1.65973	280242	0	1
2014.08.31	1.65895	1.66435	1.62806	1.63294	327892	0	1
2014.09.07	1.61865	1.62770	1.60520	1.62573	448968	0	1
2014.09.14	1.62698	1.65244	1.61621	1.63017	438396	0	1
2014.09.21	1.62905	1.64156	1.62379	1.62442	405600	0	1
2014.09.28	1.62383	1.62873	1.59518	1.59752	384646	0	1
2014.10.05	1.59683	1.62268	1.59542	1.60572	392181	0	1
2014.10.12	1.60681	1.61267	1.58750	1.60875	465879	0	1
2014.10.19	1.60935	1.61838	1.59940	1.60842	364292	0	5
2014.10.26	1.60927	1.61820	1.59414	1.59960	381809	0	1
2014.11.02	1.59725	1.60212	1.57893	1.58773	499919	0	1
2014.11.09	1.58809	1.59441	1.55926	1.56713	459643	0	1
2014.11.16	1.56657	1.57367	1.55897	1.56532	390569	0	1
2014.11.23	1.56361	1.58255	1.56137	1.56287	340782	23109600000	1
2014.11.30	1.56405	1.57634	1.55697	1.55826	339857	0	1
2014.12.07	1.55576	1.57566	1.55411	1.57036	324110	342186346000	1
2014.12.14	1.57144	1.57852	1.55408	1.56331	331667	360807403000	1
2014.12.21	1.56251	1.56651	1.54854	1.55563	621943	741957264000	1
2014.12.28	1.55588	1.56202	1.53300	1.53389	227867	176857868000	1
2015.01.04	1.52995	1.53184	1.50336	1.51632	519599	0	10
2015.01.11	1.51768	1.52678	1.50745	1.51575	561751	0	9
2015.01.18	1.51274	1.52114	1.49503	1.50193	257322	0	8
2015.01.25	1.50079	1.52227	1.49858	1.50536	291432	16422778000	1
2015.02.01	1.50933	1.53516	1.49883	1.52228	384047	0	2
2015.02.08	1.52265	1.54215	1.51959	1.53970	365813	0	6
2015.02.15	1.54178	1.54777	1.53156	1.53970	362418	0	1
2015.02.22	1.53953	1.55516	1.53321	1.54464	329465	0	7
2015.03.01	1.54151	1.54281	1.50457	1.50608	323470	0	6
2015.03.08	1.50345	1.51366	1.46988	1.47535	419005	0	5
2015.03.15	1.47342	1.51648	1.46347	1.49412	465733	0	1
2015.03.22	1.49723	1.49933	1.47959	1.48684	444419	0	6
2015.03.29	1.48826	1.49445	1.47390	1.49103	362847	0	4
2015.04.05	1.49179	1.49806	1.45865	1.46476	341352	0	4
2015.04.12	1.46310	1.50527	1.45650	1.49658	416921	0	4
2015.04.19	1.49595	1.51851	1.48557	1.51744	474989	0	2
2015.04.26	1.51747	1.54977	1.51065	1.51256	578551	0	2
2015.05.03	1.51432	1.55207	1.50897	1.54477	190037	0	1
2015.05.10	1.54484	1.58139	1.53925	1.57451	433495	0	7
2015.05.17	1.57384	1.57446	1.54451	1.54731	557002	0	1
2015.05.24	1.54759	1.55069	1.52356	1.52943	531491	0	6
2015.05.31	1.52923	1.54405	1.51695	1.52777	632900	0	1
2015.06.07	1.52691	1.55975	1.52207	1.55531	765423	0	1
2015.06.14	1.55485	1.59292	1.54870	1.58831	701324	0	1
2015.06.21	1.58714	1.59093	1.56667	1.57320	656404	0	8
2015.06.28	1.56960	1.57878	1.55618	1.55850	712903	0	4
2015.07.05	1.55417	1.56278	1.53297	1.55062	712687	0	5
2015.07.12	1.55028	1.56744	1.54502	1.56073	670111	0	5
2015.07.19	1.56002	1.56701	1.54663	1.55104	811835	202900754000	5
2015.07.26	1.55090	1.56891	1.54902	1.56251	751972	658480896000	5
2015.08.02	1.56289	1.56507	1.54243	1.54960	771291	713507602000	8
2015.08.09	1.54841	1.56594	1.54579	1.56497	596726	499625047000	4
2015.08.16	1.56507	1.57228	1.55617	1.57027	729239	670295299000	10
2015.08.23	1.56764	1.58186	1.53348	1.53911	905197	735525181000	10
2015.08.30	1.54104	1.54363	1.51645	1.51859	634100	594796847000	8
2015.09.06	1.51752	1.54756	1.51707	1.54259	620927	575431633000	9
2015.09.13	1.54263	1.56579	1.53293	1.55549	574320	561537950000	4
2015.09.20	1.55230	1.55674	1.51349	1.51885	629703	614007878000	10
2015.09.27	1.51909	1.52406	1.51064	1.51909	610605	571553031000	6
2015.10.04	1.51871	1.53828	1.51361	1.53330	613665	604147398000	5
2015.10.11	1.53039	1.55081	1.51998	1.54521	600331	588122486000	4
2015.10.18	1.54304	1.55088	1.53151	1.53224	587862	593259854000	11
2015.10.25	1.53078	1.54673	1.52418	1.54185	585106	568841492000	4
2015.11.01	1.54449	1.54971	1.50268	1.50415	598368	573472414000	11
2015.11.08	1.50396	1.52648	1.50381	1.52263	610737	611764274000	9
2015.11.15	1.52242	1.53351	1.51540	1.51908	590151	556431345000	11
2015.11.22	1.51694	1.51957	1.50298	1.50372	600654	580102240000	8
2015.11.29	1.50317	1.51586	1.48945	1.51011	669815	669722805000	11
2015.12.06	1.51065	1.52391	1.49562	1.52320	637193	622893554000	11
2015.12.13	1.52245	1.52300	1.48645	1.49056	673146	635396964000	11
2015.12.20	1.48905	1.49438	1.48050	1.49406	404551	365995045000	7
2015.12.27	1.49008	1.49339	1.47313	1.47317	344023	312176249000	11
2016.01.03	1.47306	1.48152	1.45056	1.45244	708341	651132012000	11
2016.01.10	1.45144	1.46040	1.42586	1.42625	680566	638084798000	2
2016.01.17	1.42472	1.43620	1.40790	1.42889	742029	726751424000	4
2016.01.24	1.42604	1.44128	1.41490	1.42357	782684	753966640000	5
2016.01.31	1.42384	1.46679	1.42276	1.44981	775455	674201753000	10
