<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.05.24	1.26571	1.27322	1.26466	1.27141	80963	0	6
2019.05.27	1.27264	1.27472	1.26666	1.26785	82794	0	8
2019.05.28	1.26772	1.27013	1.26494	1.26519	88759	0	12
2019.05.29	1.26517	1.26708	1.26110	1.26258	84257	0	6
2019.05.30	1.26251	1.26397	1.25799	1.26063	66481	0	9
2019.05.31	1.26084	1.26375	1.25583	1.26336	83501	0	10
2019.06.03	1.26291	1.26735	1.26097	1.26625	89093	0	7
2019.06.04	1.26633	1.27138	1.26415	1.26977	102006	0	9
2019.06.05	1.26990	1.27431	1.26799	1.26831	98655	0	4
2019.06.06	1.26809	1.27416	1.26680	1.26933	99364	0	7
2019.06.07	1.26910	1.27625	1.26849	1.27362	92629	0	9
2019.06.10	1.27231	1.27347	1.26522	1.26827	87114	0	10
2019.06.11	1.26855	1.27317	1.26696	1.27231	106334	0	9
2019.06.12	1.27220	1.27579	1.26808	1.26871	109489	0	5
2019.06.13	1.26877	1.27074	1.26615	1.26730	91293	0	7
2019.06.14	1.26728	1.26813	1.25809	1.25875	96389	0	8
2019.06.17	1.25782	1.26049	1.25314	1.25329	72045	0	11
2019.06.18	1.25328	1.25641	1.25053	1.25565	105706	0	4
2019.06.19	1.25562	1.26731	1.25418	1.26384	97481	0	5
2019.06.20	1.26424	1.27264	1.26261	1.27024	126205	0	6
2019.06.21	1.27001	1.27390	1.26417	1.27354	112103	0	10
2019.06.24	1.27324	1.27659	1.27077	1.27382	82413	0	8
2019.06.25	1.27377	1.27832	1.26712	1.26862	91214	0	6
2019.06.26	1.26879	1.27068	1.26619	1.26888	113963	0	10
2019.06.27	1.26888	1.27241	1.26608	1.26698	101660	0	8
2019.06.28	1.26725	1.27340	1.26601	1.26956	86677	0	8
2019.07.01	1.26943	1.27050	1.26312	1.26385	92799	0	10
2019.07.02	1.26377	1.26475	1.25833	1.25921	86481	0	7
2019.07.03	1.25921	1.25998	1.25564	1.25716	74163	0	8
2019.07.04	1.25698	1.25904	1.25568	1.25777	48133	0	6
2019.07.05	1.25777	1.25870	1.24805	1.25246	73768	0	6
2019.07.08	1.25239	1.25393	1.24996	1.25134	35806	0	3
2019.07.09	1.25134	1.25227	1.24391	1.24624	64488	0	3
2019.07.10	1.24619	1.25207	1.24436	1.25015	84780	0	3
2019.07.11	1.24990	1.25709	1.24972	1.25220	78412	0	3
2019.07.12	1.25223	1.25754	1.25183	1.25708	75600	0	3
2019.07.15	1.25403	1.25779	1.25099	1.25149	57846	0	3
2019.07.16	1.25160	1.25203	1.23961	1.24060	79740	0	3
2019.07.17	1.24054	1.24562	1.23817	1.24307	66428	0	3
2019.07.18	1.24308	1.25581	1.24260	1.25454	72332	0	3
2019.07.19	1.25451	1.25561	1.24760	1.24974	54668	0	3
2019.07.22	1.24896	1.25192	1.24552	1.24755	54242	0	3
2019.07.23	1.24754	1.24816	1.24176	1.24380	59271	0	3
2019.07.24	1.24377	1.25223	1.24261	1.24841	63439	0	3
